Kontonummer;Kontonavn;Inngående balanse 2026-01-01;Jan;Feb;Mars;April;Mai;Juni;Juli;Aug;Sept;2026-09-17;2025-09-17;Endring - 2025-09-17
2700;"Utgående merverdiavgift, høy sats";-96385,00;-96385,00;-96385,00;-137770,07;-96385,00;-96385,00;-96385,00;-96385,00;-96385,00;-96385,00;-96385,00;-89570,63;-6814,37
2702;"Utgående merverdiavgift, lav sats";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-915,50;915,50
2703;"Utgående merverdiavgift kjøp av tjenester fra utlandet, høy sats";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-7945,12;7945,12
2705;"Utgående merverdiavgift innførsel, høy sats";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-11831,75;11831,75
2710;"Inngående merverdiavgift, høy sats";-1675,48;13016,02;-1675,48;1363,92;-1675,48;507,68;-1675,48;-1560,91;-376,18;-376,18;-376,18;322685,60;-323061,78
2712;"Inngående merverdiavgift, lav sats";428,38;428,38;428,38;494,13;428,38;428,38;428,38;428,38;428,38;428,38;428,38;49,28;379,10
2740;"Oppgjørskonto merverdiavgift";0,00;0,00;174921,00;174921,00;56150,00;56150,00;97839,00;97839,00;97839,00;97839,00;97839,00;-303782,00;401621,00
2770;"Skyldig arbeidsgiveravgift";-52963,00;-18830,00;-16679,00;0,00;0,00;0,00;-14668,00;-14668,00;0,00;0,00;0,00;-74302,00;74302,00
2785;"Påløpt arbeidsgiveravgift på ferielønn";-30741,04;-21204,78;-21204,78;-21204,78;-21204,78;-21204,78;-5564,08;-5564,08;-5564,08;-5564,08;-5564,08;-27190,99;21626,91
2900;"Forskudd fra kunder";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-66737,29;66737,29
2910;"Gjeld til ansatte og eiere";0,00;0,00;0,00;0,00;0,00;0,00;71486,66;71486,66;71486,66;71486,66;71486,66;71494,31;-7,65
2921;"Mellomregning Kodeworks AS";-388985,02;-388985,02;-388985,02;-392368,77;-392368,77;-392368,77;-492368,77;-492368,77;-742368,77;-742368,77;-742368,77;0,00;-742368,77
2940;"Skyldig feriepenger";-218020,71;-150387,70;-150387,70;-150387,70;-150387,70;-150387,70;-39460,80;-39460,80;-39460,80;-39460,80;-39460,80;-192843,20;153382,40
2950;"Påløpt rente";-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;-54181,56;0,00;-54181,56
2960;"Annen påløpt kostnad";-269553,04;-269553,04;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-6360,04;6360,04
2965;"Forskuddsbetalt inntekt";-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-2083995,64;-3056885,18;972889,54
2990;"Annen kortsiktig gjeld";0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-184689,00;184689,00
