Saldobalanse 2025 - SUNLIT SEA AS,,,,,,
Nr,Kontotekst,Referansekonto,Importerte tall,Sluttposteringer,2025,2024
5401,Arbeidsgiveravgift av opptjente feriepenger,5400 Arbeidsgiveravgift,39087.86,0,39087.86,45131.41
5402,Ekstra arbeidsgiveravgift,5400 Arbeidsgiveravgift,0,0,0,8456.55
5495,Periodisering av arbeidsgiveravgift,5400 Arbeidsgiveravgift,0,0,0,-1836.38
5496,Periodisering av arbeidsgiveravgift av opptjente feriepenger,5400 Arbeidsgiveravgift,0,0,0,-220.37
5510,Trekkpliktig del av reise,"5510 Km-godtgj. og diett, AGA, opplysningspliktig",0,0,0,163.87
5800,Refusjon av sykepenger,"5800 Refusjon av sykepenger, AGA, ikke opplysningspliktig",-52320.0,0,-52320.0,0
5890,Annen refusjon,"5809 Refusjon av sykepenger, ikke AGA, ikke opplysningspliktig",0,0,0,-268441.0
5910,Kantinekostnad,5910 Kantinekostnad,5143.64,0,5143.64,535.8
5920,Yrkesskadeforsikring,5920 Yrkesskadeforsikring,-1753.0,0,-1753.0,21353.0
5945,Pensjonsforsikring for ansatte,"5425 OTP/Pensjoner, AGA, ikke opplysningspliktig",245077.0,0,245077.0,223468.0
5990,Annen personalkostnad,5990 Annen personalkostnad,5363.14,0,5363.14,3288.07
6011,Avskrivning FoU,6020 Avskrivning på immaterielle eiendeler,6562232.38,-6562232.38,0,7655081.14
6012,Reduksjon avskrivning FoU,6020 Avskrivning på immaterielle eiendeler,-6449815.95,6449815.95,0,-6449818.12
6015,Avskrivning på maskiner,"6010 Avskrivning på transportmidler, maskiner og inventar",171103.44,0,171103.44,14034.34
6017,Avskrivning på inventar,"6010 Avskrivning på transportmidler, maskiner og inventar",29481.63,0,29481.63,5078.5
6100,"Frakt, transportkostnad og forsikring ved vareforsendelse","6100 Frakt, transportkostnad og forsikring ved vareforsendelse",19440.39,0,19440.39,0
6200,Elektrisitet,6200 Elektrisitet,23213.57,0,23213.57,49580.76
6300,Leie lokale,6300 Leie lokale,313005.0,0,313005.0,525453.6
6360,Renhold,6360 Renhold,14233.33,0,14233.33,16280.2
6390,Annen kostnad lokaler,6390 Annen kostnad lokaler,38839.2,0,38839.2,59252.56
6400,Leie maskiner,6400 Leie maskiner,55708.8,0,55708.8,15882.79
6440,Leie transportmidler,6440 Leasingleie av bil,7290.0,0,7290.0,21358.68
6490,Annen leiekostnad,6490 Annen leiekostnad,4114.3,0,4114.3,9051.82
6500,Motordrevet verktøy,6500 Verktøy,0,0,0,623.5
6510,Håndverktøy,6500 Verktøy,0,0,0,19041.36
6520,Hjelpeverktøy,6500 Verktøy,0,0,0,20679.85
6540,Inventar,6540 Inventar,0,0,0,5684.53
6550,Driftsmateriale,6550 Driftsmaterialer,-14870.4,0,-14870.4,0
6552,Datautstyr (software),6552 Programvare anskaffelse,19560.06,0,19560.06,16489.38
6560,Rekvisita(prod. prototype),6560 Rekvisita,-1493244.05,0,-1493244.05,41834.33
6561,Rekvisita - annet,6560 Rekvisita,38453.49,0,38453.49,42044.12
6570,Arbeidsklær og verneutstyr,6570 Arbeidsklær og verneutstyr,2442.72,0,2442.72,3266.38
6590,Annet driftsmateriale,6590 Annet driftsmateriale,48067.56,0,48067.56,29451.49
6701,Honorar revisjon,6701 Revisjonshonorar,116625.6,0,116625.6,78725.0
6702,Honorar rådgivning revisjon,"6702 Revisor, honorar for annen bistand",20000.0,0,20000.0,0
